"Playlist Date","Playlist Title","DJ Name",Time,Artist,Song,Release,New,Genre,Label
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:24 PM","Coco & Clair Clair","The Hills",Sexy,,,"Nice Girl World via Alternate Side and Many Hats Distribution"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:39:23 PM",Tatyana,"Down Bad","It's Over",N,Alternative,Sinderlyn
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:31:57 PM","Laetitia Sadier","Une Autre Attente","Rooting for Love",N,Alternative,"Duophonic Super 45s"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:38 PM","Lucinda Williams","Happy Woman Blues","Happy Woman Blues",,Americana,"Smithsonian Folkways Recordings"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:25:07 PM","Wildcat! Wildcat!",Hero,"No Moon At All",,Electronic,"Downtown Music / Fontana North"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:21:01 PM",Nothing,"Guilty of Everything","Guilty of Everything",,Alternative,"Relapse Records"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:12:30 PM","Kim Gordon","The Believers","The Collective",N,Alternative,Matador
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:09:54 PM","Dreamer Isioma","Meadows in Japan","The Leo Sun Sets",,R&B/Soul,"Dreamer Isioma LLC"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:06:13 PM",Girlpool,"Paint Me Colors",Girlpool,,Alternative,"Wichita Recordings"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:30 PM",Xyla,Feel,Ways,,Electronic,"Leaving Records"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:59:05 PM","Cowgirl Clue","Trust Fall","Rodeo Star",N,,"Vada Vada"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:54:22 PM","Blonde Redhead","Kiss Her Kiss Her","Sit Down for Dinner",N,Alternative,section1
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:45:40 PM",yeule,dazies,softscars,,Alternative,"Ninja Tune"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:40:43 PM","Jane Remover","Cage Girl / Camgirl","Census Designated",N,Alternative,deadAir
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:36:08 PM","Emily Yacina","Trick of the Light","Trick of the Light w/ Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:30:56 PM",Waxahatchee,"Evil Spawn","Tigers Blood",N,Alternative,Anti/Epitaph
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:26:58 PM",STRFKR,Chizzlers,"Parallel Realms",,Alternative,"Polyvinyl Records"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:22:36 PM","Nation of Language","Weak In Your Light","Strange Disciple",,Alternative,"Play It Again Sam"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:12:32 PM","Black Marble","Private Show","Bigger Than Life",,Electronic,"Sacred Bones Records"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:38 PM","Film School","Heart Full of Pentagons",Fission,,Alternative,"Film School"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:03:21 PM","Mates of State","So Begins Our Alabee","Polyvinyl Plays Polyvinyl",,Alternative,"Polyvinyl Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:02 PM","Cowgirl Clue","Trust Fall","Rodeo Star",N,,"Vada Vada"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:52:13 PM","Summer Twins","I Will Love You","Summer Twins",,,"Burger Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:59 PM","Amps for Christ","W I B","Every Eleven Seconds",,Classical,5RC
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:45:32 PM",Pavement,"DATE w IKEA","Brighten the Corners: Nicene Creedence Ed.",,Alternative,Matador
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:31:44 PM","Kim Gordon","The Believers","The Collective",N,Alternative,Matador
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:11 PM",EasyFun,Laplander,"Deep Trouble - EP",,Electronic,"PC Music"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:25:38 PM",Jockstrap,"Sexy 2",I<3UQTINVU,N,Alternative,"Rough Trade"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:04 PM","Emily Yacina","Nothing Lasts","Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:08:50 PM","Jane Remover","Backseat Girl","Census Designated",N,Alternative,deadAir
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:04:39 PM",STRFKR,Armatron,"Parallel Realms",N,Alternative,"Polyvinyl Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:00:26 PM",Waxahatchee,"Right Back to It (feat. MJ Lenderman)","Tigers Blood",N,Alternative,Anti/Epitaph
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:53:03 PM",Sparks,"Falling In Love With Myself","Kimono My House",,Oldies,"Island Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:49:39 PM","Beach House",D.A.R.L.I.N.G,Devotion,,Alternative,Mistletone
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:33 PM",Tanukichan,Natural,Sundays,,Alternative,"Company Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:34:48 PM","Nation of Language","I Will Never Learn","Strange Disciple",N,Alternative,"Play It Again Sam"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:31:38 PM","Slow Pulp",Slugs,Yard,N,Alternative,Anti/Epitaph
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:27:55 PM","Modern Baseball","Note To Self","Holy Ghost",,Alternative,"Run For Cover Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:16:37 PM","amps for christ","Sailors Searching","Canyons Cars and Crows",,,Shrimper
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:11:53 PM",Nothing,Endlessly,"Guilty of Everything",,Alternative,"Relapse Records"
"Mar 28, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:23 PM","Sufjan Stevens","Chicago (Acoustic Version)","The Avalanche - Outtakes and Extras from the Illinois Album",,Americana,"Asthmatic Kitty Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:54:54 PM","Animal Collective","Stride Rite","Isn’t It Now?",,Electronic,"Domino Recording Co"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:47:34 PM","Bad Bad Hats","Quarter Past",Walkman,,Alternative,"Don Giovanni Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:55 PM","Beach House",Childhood,"Beach House",,Alternative,Mistletone
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:37:35 PM","American Football","The One with the Tambourine","American Football - Single",,Alternative,"Polyvinyl Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:51 PM",Sophie,Pretending,"Oil of Every Pearl's Un - Insides",,Electronic,"Future Classic"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:24:09 PM","Franny London","Shipwrecked Boat On Quicksand Beach","Shipwrecked Boat On Quicksand Beach - Single",,Alternative,"Fia Trapezie Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:14:28 PM","Unknown Mortal Orchestra","Weekend Run",V,N,Alternative,Jagjaguwar
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:28 PM","Lift to Experience","Falling from Cloud 9","The Texas-Jerusalem Crossroads",,Alternative,Mute
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:06:22 PM","Folly Group",Frame,"Down There!",N,Alternative,"So Young Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:02:24 PM","Private Lives","Dark Spots","Hit Record",N,Alternative,"Feel It Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:57:49 PM",Radian,Stak,"Distorted Rooms",N,Alternative,"Thrill Jockey"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:44:43 PM","Jane Remover",Video,"Census Designated",N,Alternative,deadAir
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:40:01 PM",quannnic,"Rummage (feat. Orbiting Human Circus)",Stepdream,,,deadAir
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:33:15 PM","Slow Pulp",Mud,Yard,N,Alternative,Anti/Epitaph
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:29:41 PM",yeule,ghosts,softscars,,Alternative,"Ninja Tune"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:25:32 PM","Emily Yacina","Nothing Lasts","Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:14:14 PM","Snail Mail","Deep Sea",Lush,,Alternative,Matador
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:10:54 PM","Black Marble","Bigger Than Life","Bigger Than Life",,Electronic,"Sacred Bones Records"
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:34 PM","Amps for Christ",Edward,Electrosphere,,Alternative,Shrimper
"Mar 14, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:04:55 PM",Nothing,"Hymn to the Pillory","Guilty of Everything",,,"Relapse Records"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:54:55 PM",Maraschino,"Hi Desire","Hollywood Piano",,Alternative,"Alpha Pup"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:30 PM","Turnstile & BADBADNOTGOOD","Underwater Boi","New Heart Designs - Single",N,,"Roadrunner Records"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:45:21 PM","May Rio",Getaway,"French Bath",N,Alternative,"Dots Per Inch Music"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:26 PM","Yves Tumor","The Feeling When You Walk Away","Serpent Music",,Electronic,PAN
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:33:01 PM","Black Marble",Try,"Fast Idol",,Electronic,"Sacred Bones Records"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:27:26 PM","Animal Collective",Bluish,"Merriweather Post Pavilion",,Alternative,"Domino Recording Co"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:24:50 PM","Alex G",Gretel,"House of Sugar",,Alternative,"Domino Recording Co"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:30 PM","CIA Debutante","Old Masters","Down, Willow",,Alternative,Siltbreeze
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:48 PM","Yumi Zouma","Give It Hell","Present Tense",,Alternative,"[PIAS] Australia"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:05:06 PM","Steve Bates","Glimpse an End","All the Things That Happen",,Alternative,Constellation
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:33 PM",B1,"China Girl (David Bowie)",,,,n/a
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:58:00 PM",Bambii,"Infinity Club","Infinity Club",N,Electronic,"Innovative Leisure"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:55:01 PM",Shygirl,Firefly,Nymph,,,"Because Music Ltd."
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:00 PM",SOPHIE,"Is It Cold In The Water?","OIL OF EVERY PEARL'S UN-INSIDES",,Electronic,"Future Classic"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:44:00 PM",ZAH,swell,"To Love the Silence - EP",,,DREAMCORE
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:41:00 PM",EasyFun,Laplander,"Deep Trouble - EP",,Electronic,"PC Music"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:37:36 PM",yeule,dazies,softscars,,Alternative,"Ninja Tune"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:35:13 PM",Sadie,"Another Light","Tides - EP",N,Alternative,sadieworld
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:28:01 PM","Cowgirl Clue","Hometown Hero","Rodeo Star",N,,"Vada Vada"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:25:59 PM","Slow Pulp",Cramps,Yard,N,Alternative,Anti/Epitaph
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:23:22 PM",Froth,"Turn It Off",Bleak,,Alternative,Froth
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:13:29 PM",Negativland,"Building And Raising","Speech Free: Recorded Music For Film, Radio, Internet and Television",,Alternative,Seeland
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:10:17 PM",Tanukichan,"Like You",GIZMO,N,Alternative,"Company Records"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:46 PM",Alvvays,"Tile By Tile","Blue Rev",,Alternative,"[PIAS] Australia"
"Mar 7, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:04:53 PM","Younger Us","beach slang","Polyvinyl Plays Polyvinyl",,,Polyvinyl
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:06 PM",Froth,"Turn It Off",Bleak,,Alternative,Froth
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:57:42 PM",ee,muni,,,,"asian man records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:50:49 PM","Free Throw","Pallet Town","Those Days Are Gone",,Alternative,"Two Spot Records and Many Hats Distribution"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:45:59 PM","Forest Bees","Hollow Bones","Forest Bees",,Alternative,"1795630 Records DK2"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:36 PM",TEKE::TEKE,Doppelganger,Hagata,N,"Indie Rock","Kill Rock Stars"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:32:15 PM",Florry,"Say It Again","The Holey Bible",N,Alternative,"Dear Life Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:16 PM","Orbiting Human Circus","I Cover the Waterfront","Quartet Plus Two",N,Jazz,"Merge Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:25:14 PM","Amps for Christ",Edward,Electrosphere,,Alternative,Shrimper
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:42 PM",DIIV,Doused,Oshin,,Alternative,"Captured Tracks"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:42 PM",Smog,"Little Girl Shoes","Accumulation: None",,Alternative,"Drag City Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:05:57 PM",EASYFUN,"Full Circle","Deep Trouble - Single",,Electronic,"PC Music"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:02:35 PM",Chai,MATCHA,CHAI,N,,"Sony Music Labels Inc."
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:57:42 PM",Panchiko,Cut,D>E>a>T>H>M>E>T>a>L,,Alternative,Panchiko
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:46 PM",CASTLEBEAT,"I Follow",Vhs,,Alternative,"Spirit Goth Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:42:39 PM",Slowdive,"the slab","Everything is Alive",N,Alternative,"Dead Oceans"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:38:46 PM","Belle and Sebastian","Me and the Major","If You're Feeling Sinister",,Alternative,Matador
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:32:25 PM",Bibio,"A Couple Swim","Sleep on the Wing",,Electronic,"Warp Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:27:00 PM","Emily Yacina","Nothing Lasts","Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:22:23 PM","Jane Remover",Lips,"Census Designated",N,Alternative,deadAir
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:14:01 PM","Alex G",County,Rocket,,Alternative,"Domino Recording Co"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:11:38 PM","Silver Jews","Trains Across the Sea","Starlite Walker",,Alternative,"Drag City Records"
"Feb 29, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:11:16 PM","Amps for Christ","AFC Tower Song","The People At Large",,Alternative,"Kill Rock Stars"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:09 PM",Froth,"Nothing Baby",Bleak,,Alternative,Froth
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:52:34 PM",yeule,dazies,softscars,N,Alternative,"Ninja Tune"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:47:20 PM",Wishy,Paradise,"Paradise - EP",N,Alternative,Winspear
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:43:16 PM","Grrrl Gang","The Star",Spunky!,N,Alternative,"Trapped Animal"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:33:39 PM","Modern Nature",Cascade,"No Fixed Point In Space",,Classical,"Bella Union"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:30:36 PM",CHAI,"LIKE, I NEED",CHAI,N,Alternative,"Sub Pop Records"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:29:03 PM",Coasting,Portland,"You're Never Going Back",,,"M'lady's Records"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:25:39 PM","Radiator Hospital","Our Song","Something Wild",,Alternative,"Salinas Records"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:23:41 PM",Wallice,Quarterlife,"Mr Big Shot - EP",N,Alternative,"Dirty Hit"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:14:43 PM","Chad Valley","Shell Suite","Equatorial Ultravox",,Electronic,Cascine
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:54 PM","Cat Power","Keep On Runnin' (Crawlin' Black Spider)","You Are Free",,Alternative,Matador
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:08:07 PM","Amps for Christ",Edward,Electrosphere,,Alternative,Shrimper
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:04:56 PM","Emily Yacina","Trick of the Light","Trick of the Light w/ Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:02:06 PM","Sudan Archives",Oatmeal,"Sudan Archives - EP",,R&B/Soul,"Stones Throw Records"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:50:33 PM","Water From Your Eyes","Buy My Product","Everyone's Crushed",N,Alternative,Matador
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:50 PM","feeble little horse",Paces,"Girl with Fish",N,Alternative,"Saddle Creek"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:42:58 PM","Julie Byrne","Summer Glass","The Greater Wings",N,Alternative,"Ghostly International"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:34:41 PM",quannnic,Comatose,"Comatose - Single",N,,deadAir
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:28:46 PM","Jane Remover","Cage Girl / Camgirl","Census Designated",N,Alternative,deadAir
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:16:10 PM","Animal Collective","For Reverand Green","Strawberry Jam",,,domino
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:12:17 PM",Alvvays,"Not My Baby",Antisocialites,,Alternative,"Polyvinyl Records"
"Feb 22, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:23 PM",Deerhunter,Helicopter,"Halcyon Digest",,Alternative,4AD
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:43 PM","Strict Face",Fountains,"Fountains / Highbury Skyline - Single",,Electronic,"Gobstopper Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:58 PM","Grrrl Gang","The Star",Spunky!,,Alternative,"Trapped Animal"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:25 PM",Razteria,Mientras,"Tocar las Estrellas",N,Alternative,"Asteria Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:41:53 PM","Slauson Malone 1","Decades, Castle Romeo",EXCELSIOR,N,Electronic,"Warp Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:32:36 PM","Blood Orange","Hope (feat. Puff Daddy & Tei Shi)","Negro Swan",,Alternative,"Domino Recording Co"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:26:32 PM",Efterklang,Swarming,"Swarming - EP",,Electronic,"The Leaf Label"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:24:45 PM","Alex G",Skipper,DSU,,Alternative,"Lucky Number Music"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:14:30 PM",Sadie,"Another Light","Tides - EP",N,Alternative,sadieworld
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:11:12 PM",yeule,"cyber meat",softscars,N,Alternative,"Ninja Tune"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:09:10 PM","Cowgirl Clue","Hometown Hero","Rodeo Star",N,,"Vada Vada"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:05:19 PM","Fever Ray","An Itch",Plunge,,Alternative,etcetc
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:00 PM","Sen Morimoto","What You Say",Diagnosis,N,Alternative,"City Slang"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:56:48 PM",Wishy,Paradise,"Paradise - EP",N,Alternative,Winspear
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:53:40 PM",EasyFun,Fanta,"Deep Trouble - Single",,Electronic,"PC Music"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:44:39 PM",Bodywash,"Massif Central","I Held the Shape While I Could",,Alternative,"Light Organ Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:41:49 PM",Kou,"la tempesta",Kou,N,,Aguirre
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:31:53 PM","Baby Jey","Why U Asking Now","Crop Circles",N,Alternative,"Maintenance Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:27:50 PM",Heartour,"The Unfurling",Years,,Alternative,Heartour
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:24:15 PM","Sweet Spirit",Fingerprints,Trinidad,,Alternative,"Merge Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:15:27 PM","dietrich eichmann","game and earnest",1989,,,oakmus
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:09:23 PM","The Love Language","Southern Doldrums","Baby Grand",,Alternative,"Merge Records"
"Feb 8, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:04 PM","Xiu Xiu","I Luv the Valley OH!","Fabulous Muscles",,Alternative,Acuarela
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:34 PM","Julie Byrne","Melting Grid","Not Even Happiness",,,"Julie Byrne"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:54:32 PM","American Football","Where Are We Now?","American Football (Lp2)",,Alternative,"Polyvinyl Records"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:22 PM","Joni Mitchell","Urge for Going","Archives, Vol. 1: The Early Years (1963-1967)",,,Rhino
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:49 PM",Florist,Feathers,Florist,,Alternative,"Double Double Whammy"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:35:14 PM","Kimya Dawson","I Will Never Forget","Hidden Vagenda",,Alternative,"Great Crap Factory"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:30:49 PM","Cat Power","Nude As the News","What Would the Community Think",,Alternative,Matador
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:44 PM",Alvvays,Velveteen,"Blue Rev",,Alternative,"[PIAS] Australia"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:49 PM","Jeff Tweedy","I'll Sing It",Sukierae,,,"Legacy Recordings"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:12:34 PM","Alex G",Sorry,DSU,,Alternative,Self-Released
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:06 PM","Emily Yacina",chances,"all the things",,,"danger collective"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:06:08 PM","Sonic Youth","Silver Panties","Silver Session (For Jason Knuth)",,Alternative,"Squeaky Squawk"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:58 PM","Snail Mail",Anytime,Lush,,Alternative,Matador
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:58:43 PM",Sophie,"It's Okay To Cry","Oil of Every Pearl's Un - Insides",,Electronic,"Future Classic"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:49:32 PM","Post Animal",Schedule,"Forward Motion Godyssey",,Alternative,"Polyvinyl Records"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:42:24 PM","Joanna Newsom",Divers,Divers,,Alternative,"Drag City"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:34:41 PM","Crooks & Nannies",Control,"No Fun EP",,Alternative,"Grand Jury Music"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:30:43 PM","Haley Blais","The Cabin",Wisecrack,N,Alternative,"Arts & Crafts México"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:26:53 PM","Madeline Kenney","I Drew a Line","A New Reality Mind",N,Electronic,"Carpark Records"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:16:02 PM","Kimya Dawson","Tire Swing","Remember That I Love You",,Alternative,"Great Crap Factory"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:12:51 PM","Kevin Morby","Pearly Gates","City Music",,Americana,"Dead Oceans"
"Feb 1, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:08:33 PM","Belle and Sebastian","Wrapped Up In Books","Books - EP",,Alternative,"Rough Trade"
